title,authors,source,url,published
10/31 Links Pt2: A season of bipartisan betrayal on antisemitism; When Conservative Leaders Lose Their Way; The Question JD Vance Needs to Answer,,Elder of Ziyon,https://elderofziyon.blogspot.com/2025/10/1031-links-pt2-season-of-bipartisan.html,2025-11-01T02:15:12Z
'If they're going to do it ... ': Trump doubles down on nuclear testing plan; underground tests on cards? - The Times of India,Toi World Desk,The Times of India,https://timesofindia.indiatimes.com/world/us/if-theyre-going-to-do-it-trump-doubles-down-on-nuclear-testing-plan-underground-tests-on-cards/articleshow/125008292.cms,2025-11-01T02:14:18Z
South Korea to woo China's Xi with state visit as APEC wraps up,Reuters,Market Screener,https://www.marketscreener.com/news/south-korea-to-woo-china-s-xi-with-state-visit-as-apec-wraps-up-ce7d5cd8dd89f422,2025-11-01T02:14:11Z
"Reagan-Thatcher, Trump-Takaichi, and Cold War II - The American Spectator | USA News and Politics",Francis P. Sempa,The American Spectator | USA News and Politics,https://spectator.org/reagan-thatcher-trump-takaichi-and-cold-war-ii/,2025-11-01T02:13:28Z
Polyamory in Somerville 5 Years After Legal Recognition: 22 Official Throuples and a Poly Mayoral Candidate - The American Spectator | USA News and Politics,Ellie Gardey Holmes,The American Spectator | USA News and Politics,https://spectator.org/polyamory-in-somerville-5-years-after-legal-recognition-22-official-throuples-and-a-poly-mayoral-candidate/,2025-11-01T02:13:19Z
South Korea October exports post surprise gain on strong demand for chips and ships,Reuters,Market Screener,https://www.marketscreener.com/news/south-korea-october-exports-post-surprise-gain-on-strong-demand-for-chips-and-ships-ce7d5cd8da8cf42d,2025-11-01T02:11:24Z
Trump efforts to help US coal undercut by export drop during trade war,,ABC News,https://abcnews.go.com/US/wireStory/trump-efforts-us-coal-undercut-export-drop-trade-127076971,2025-11-01T02:10:04Z
"APEC summit to close in South Korea after Trump, Xi agreed on trade truce",,ABC News,https://abcnews.go.com/International/wireStory/apec-summit-close-south-korea-after-trump-xi-127077711,2025-11-01T02:05:44Z
Apec Summit: Xi and Lee to meet in South Korea as they seek better ties,,Firstpost,https://www.firstpost.com/world/apec-summi-xi-and-lee-to-meet-in-south-korea-as-they-seek-better-ties-13946874.html,2025-11-01T02:05:44Z
"The News Roundup For October 31, 2025 : 1A",,NPR,https://www.npr.org/2025/10/31/nx-s1-5593494/the-news-roundup-for-october-31-2025,2025-11-01T02:05:16Z
APEC summit draws to close as leaders strive for consensus on free trade,,The Korea Herald,https://www.koreaherald.com/article/10606520,2025-11-01T02:05:15Z
Xi Jinping impulsa cooperación China-Canadá en cumbre APEC 2025 ante tensiones con Trump - La Jornada San Luis,,La Jornada de San Luis,https://lajornadasanluis.com.mx/xi-jinping-impulsa-cooperacion-china-canada-en-cumbre-apec-2025-ante-tensiones-con-trump/,2025-11-01T02:00:13Z
Südkoreas Exporte im Oktober überraschend gestiegen - Starke Nachfrage nach Chips und Schiffen,Reuters,de.marketscreener.com,https://de.marketscreener.com/boerse-nachrichten/suedkoreas-exporte-im-oktober-ueberraschend-gestiegen-starke-nachfrage-nach-chips-und-schiffen-ce7d5cd8da8cf42d,2025-11-01T01:59:22Z
South Korea to woo China's Xi with state visit as APEC wraps up,,The Straits Times,https://www.straitstimes.com/asia/South-Korea-to-woo-Chinas-Xi-with-state-visit-as-APEC-wraps-up,2025-11-01T01:58:14Z
You'll find out soon: Trump dodges question on underground nuclear tests,,MoneyControl,https://www.moneycontrol.com/world/you-ll-find-out-soon-trump-dodges-question-on-underground-nuclear-tests-article-13646394.html,2025-11-01T01:57:58Z
"Video: Trump Akhirnya Bertemu Xi Jinping, Prabowo: Sangat Pengaruhi Ketenangan Dunia",Kompas Cyber Media,kgnow.com,https://www.kgnow.com/watch/1887019/trump-akhirnya-bertemu-xi-jinping-prabowo-sangat-pengaruhi-ketenangan-dunia,2025-11-01T01:54:57Z
Trump dan Kim Jong Un terlihat masih ingin akur - Apa alasannya? - BBC News Indonesia,,BBC,https://www.bbc.com/indonesia/articles/cn51q2e91kwo,2025-11-01T01:50:45Z
Xi y Lee sostendrán conversaciones en Corea del Sur para reconstruir las relaciones,,Diario La República,https://www.larepublica.co/globoeconomia/xi-y-lee-sostendran-conversaciones-en-corea-del-sur-para-reconstruir-las-relaciones-4261617,2025-11-01T01:49:11Z
'Veți afla foarte curând': Donald Trump vorbește despre posibilitatea reluării testelor nucleare subterane,Daniel Mihai Dragomir,Stiri pe surse,https://www.stiripesurse.ro/veti-afla-foarte-curand-donald-trump-vorbeste-despre-posibilitatea-reluarii-testelor-nucleare-subterane_3826514,2025-11-01T01:48:32Z
"Trump may have skipped APEC, but Xi is using it to sell China as the last defender of globalization",,ExBulletin,https://exbulletin.com/politics/3102078/,2025-11-01T01:48:00Z
A look at what happened in the US government this week,Matt Cudahy,KCCI,https://www.kcci.com/article/politics-recap-october-31-2025/69222519,2025-11-01T01:47:29Z
"Dólar fecha estável, e Bolsa bate novo recorde com dados de emprego do Brasil em foco - Farol da Bahia",,faroldabahia.com.br,https://www.faroldabahia.com.br/noticia/dolar-fecha-estavel-e-bolsa-bate-novo-recorde-com-dados-de-emprego-do-brasil-em-foco,2025-11-01T01:47:07Z
A look at what happened in the US government this week,Matt Cudahy,WLWT5,https://www.wlwt.com/article/politics-recap-october-31-2025/69222519,2025-11-01T01:46:32Z
"Akcje amerykańskie rosną na otwarciu: Nasdap rośnie o 1,5%, Amazon rośnie o 12% | Invezz PL",Utkarsh Roshan,Invezz,https://invezz.com/pl/wiadomosci/2025/10/31/akcje-amerykanskie-rosna-na-otwarciu-nasdap-rosnie-o-15-amazon-rosnie-o-12/,2025-11-01T01:46:02Z
"Japan PM says raised 'serious concerns' with Xi on South China Sea, Xinjiang",,Philstar.com,https://www.philstar.com/world/2025/11/01/2484142/japan-pm-says-raised-serious-concerns-xi-south-china-sea-xinjiang,2025-11-01T01:43:53Z
Diplomatic Balancing: South Korea Hosts Chinese President Amid Tense U.S.-China Ties | Law-Order,,Devdiscourse,https://www.devdiscourse.com/article/law-order/3680744-diplomatic-balancing-south-korea-hosts-chinese-president-amid-tense-us-china-ties,2025-11-01T01:43:17Z
APEC Summit: Trump's Truce with Xi Steals the Limelight | Business,,Devdiscourse,https://www.devdiscourse.com/article/business/3680743-apec-summit-trumps-truce-with-xi-steals-the-limelight,2025-11-01T01:42:43Z
Rosneft-linked oil tanker anchored off Mumbai amid US curbs,,ETEnergyworld.com,https://energy.economictimes.indiatimes.com/news/oil-and-gas/rosneft-linked-oil-tanker-anchored-off-mumbai-amid-us-curbs/125008223,2025-11-01T01:42:37Z
Xi delivers veiled warning to nations not to take the US' side,,Economic Times,https://economictimes.indiatimes.com/news/international/world-news/xi-delivers-veiled-warning-to-nations-not-to-take-the-us-side/articleshow/125008273.cms,2025-11-01T01:39:12Z
AP Business SummaryBrief at 8:51 p.m. EDT,,Imperial Valley Press Online,https://www.ivpressonline.com/business/ap-business-summarybrief-at-8-51-p-m-edt/article_fbc78330-1627-537d-b9ce-1ccaa1345679.html,2025-11-01T01:38:41Z
Pentagon chief joins Southeast Asian meet to shore up US ties - Asia & Pacific - The Jakarta Post,,The Jakarta Post,https://www.thejakartapost.com/world/2025/11/01/pentagon-chief-joins-southeast-asian-meet-to-shore-up-us-ties.html,2025-11-01T01:38:27Z
Crecen los temores en el mundo tras orden de Donald Trump de realizar pruebas de armas nucleares,,Semana.com   Últimas Noticias de Colombia y el Mundo,https://www.semana.com/mundo/articulo/crecen-los-temores-en-el-mundo-tras-orden-de-donald-trump-de-realizar-pruebas-de-armas-nucleares/202534/,2025-11-01T01:37:42Z
"APEC summit to close in South Korea after Trump, Xi agreed on trade truce","Associated Press, Hyung-Jin Kim, Kim Tong-Hyung",KRQE 13,https://www.krqe.com/news/business/ap-apec-summit-to-close-in-south-korea-after-trump-xi-agreed-on-trade-truce/,2025-11-01T01:37:15Z
"US strategy of regime change over, focus now on stability: Tulsi Gabbard",Associated Press,Business Standard,https://www.business-standard.com/world-news/us-strategy-of-regime-change-over-focus-now-on-stability-tulsi-gabbard-125103101702_1.html,2025-11-01T01:36:54Z
AP Business SummaryBrief at 8:51 p.m. EDT,,Eagle-Tribune,https://www.eagletribune.com/region/ap-business-summarybrief-at-8-51-p-m-edt/article_82c496d8-0895-5230-b6ca-44ab7f848053.html,2025-11-01T01:36:49Z
"At APEC Meeting, Xi pledges wider opening up and inclusive growth",,China.org.cn,http://www.china.org.cn/2025-10/31/content_118154269.shtml,2025-11-01T01:35:24Z
Dollar Pushes Higher on Reduced Fed Rate Cut Speculation,Rich Asplund,Yahoo! Finance,https://finance.yahoo.com/news/dollar-pushes-higher-reduced-fed-193144692.html,2025-11-01T01:34:04Z
Oil prices steady as investors assess US-China trade truce,Scott DiSavino,Yahoo! Finance,https://finance.yahoo.com/news/oil-prices-steady-investors-assess-192411998.html,2025-11-01T01:33:56Z
